Project name,Authors
AmzBERT: Enhanced Multi-Label Sentiment Classification for E-commerce Product Reviews,Zack Seifert
Weakly Supervised Automated Language Model Red-Teaming to Identify Likely Toxic Prompts,Houjun Liu
Patent Classification Using Large Language Models,Luke Mizuhashi
Text as outcome: Topic models within a causal inference framework,Juliette Coly
Mining Molecular Logics through Human Language: Predicting and Decoding Transcription Factor Logics on Gene Expression through LLM and transformer,Gyu (Gyuhyeon) Kim
From Infant to Toddler to Preschooler: Analyzing Language Acquisition in Language Models,Yash Shah
Using Iterative Back-Translation to Improve Neural Poetry Translation,Andrew Chen
Interpreting parking signs with lightweight large language models (LLMs),Uche Ochuba
Exploring Themes and Outliers in CFPB Consumer Complaints,Jonathan Hague
Intelligent Interactive Large Language Model Planner: Responsive Personalized HomeRobot,"Angel Zhang, Gadi Mark Sznaier Camps"
Classification of clinical syndromes from patient-reported symptoms on social media,Evan Maestri
Transfer learning in audio-based emotion detection: surprising generalizability and limitations,Shunyu Yao
ReaL Stories: RL for Adaptive AI Storytelling,"Aditya Sood, Aniket Mahajan, Ayaan Chand"
Tailor-Made or Off-the-Rack? Comparing Domain-Specific and General-Domain Language Models on a Financial NLP Task,Irina Alexandra Marton
Cross attention for Text and Image Multimodal data fusion,Dongyeong Kim
Comparative Analysis of Foundation Models for Hospital Integration,"Suhana Bedi, Miguel Fuentes"
Active learning in DPO through gradient portfolio optimization,"Josh Leib Kazdan, Ziang Song"
GRAFT: Graph Retrieval Augmented Fine Tuning for Multi-Hop Query Summarization,"Sunny Yu, Natalia Kokoromyti, Sonya Shi Jin"
"Diverse LLM Approaches in Essay Scoring: A Comparative Exploration of Many-Shot Prompting, LLM Jury Panels, and Model Fine-Tuning","Alexa Sparks, Matias Hoyl, Rizwaan Malik"
Optimizing Large Language Models to Solve Crossword Puzzles,"Ishan Mehta, Andrew Lipschultz, Ohm Patel"
KAN-based Distillation in Language Modeling,Nick Mecklenburg
Handle With Care! A Mechanistic Case Study of DPO Out-of-Distribution Extrapolation,Ryan Park
Punk or Funk: Understanding the Performance of RoBERTa on Music Genre Classification,"Andrew Bempong, Deveen Harischandra"
Sparse Full-Rank MLPs for Increased Efficiency of Language Modeling,"Aaryan Singhal, Quinn McIntyre"
How Important is the Truth?,"Rehaan Ahmad, Joseph Tan"
Catch Me If You DAN: Outsmarting Prompt Injections and Jailbreak Schemes with Recollection,"Alice Guo, Grace Jin, Jenny Wei"
Query based Multi-document Summarizer and Image Synthesizer,Geeta Jakkamsetti
Finish Your Peas! Utilizing Multi-Label ImageClassification to Identify Food Items and Ingredients for Recipe Suggestions and Reducing Food Waste,"Arianna Damiani, Prashaant Ranganathan"
Engagement-based response selection for open-domain dialogue,Marcelo Pe̱a
FlowState: Composing foundation models and retrieval for issue priority level prediction,"Alex Gilbert, Gustavs Zilgalvis"
Beyond IID Constraints: A Novel Approach to Identity Preference Optimization,Amirhossein Afsharrad
Intrinsic Systematicity Evaluation: Evaluating the intrinsic systematicity of LLMs,Ayush Chakravarthy
Numerous Multi-Pivot and Chained Pivot NMT for Low-Resource Language Translation,"Cees Armstrong, Kevin Reso"
Enhancing Language-Concordant Clinical Text Translation with Zero-shot NER,"Ivan Lopez, Min Woo Sun"
Better Call Sheared-LLaMA-2.7B: Optimized Summarization for Legal Documents,"Varun Madan, Arunima Srivastav"
"Adapting Listen, Attend, and Spell to Enhance Brain-Computer Interfaces for Speech Decoding","Dylan Iskandar, Brian Ni, Vedant Singh"
Narrative Detection Across Nations in Online Social Media Discourse,"Sungbin Kim, Khaled Messai, Vikram Srinivasan"
"The First Proteinbender: A Novel ""Structure-based Protein Search Engine""","Ethan Zhang, Saahil Sundaresan, Zane Chan"
Investigating Language Model Cross-lingual Transfer for NLP Regression Tasks Through Contrastive Learning With LLM Augmentations,"Raghav Ganesh, Raj Palleti"
